id;name;standard
10188;Saria;sara
10189;Ijbrand;isbrand
10190;Mardou;
10191;Walingje;wal
10192;Lievienus;lief
10193;Tryna;
10194;Aemilia;aemilius
10195;Vennigje;ferdinand
10196;Elsmiera;
10197;Roelfiena;rodwolf
10198;Klaesjen;nicolaas
10199;Wampono;
10200;Rimkje;reinb-
10201;Reltje;rodwolf
10202;Femke;friedmar
10203;Everardina;everhard
10204;Fintgi;
10205;Mathil;machthilde
10206;Laena;
10207;Leslie;
10208;Norene;
10209;Alberdine;adelbert
10210;Margarite;margareta
10211;Anberta;adelbert
10212;Roeloffine;rodwolf
10213;Fruiken;vrouw
10214;Herma;heerman
10215;Bazilia;sebastianus
10216;Antoniius;antonius
10217;Giliom;
10218;Fridolina;friedrijk
10219;Sabine;sabinus
10220;Lodovica;lodewijk
10221;Lilien;
10222;Sakkeliena;
10223;Huber;hugbert
10224;Filomeen;filomena
10225;Fincensius;
10226;Mihaly;michael
10227;Beni;benedictus
10228;Gegorge;
10229;Malgerius;madelhard
10230;A.H.;
10231;Bougiena;boud
10232;Meertje;maria
10233;Sisanna;susanna
10234;Neeltjen;cornelis
10235;Antoinel;
10236;Geeraard;geerhard
10237;Elmina;erm
10238;Matijna;matthias
10239;Molly;milena
10240;Tjepke;diedb-
10241;Aderjanus;adriaan
10242;Hannette;johannes
10243;Hieronijmus;hieronymus
10244;Fijntje;fina
10245;Friederieke;friedrijk
10246;Ambrozius;ambrosius
10247;Ambrosia;ambrosius
10248;Heentje;heim
10249;Sijmonia;simon
10250;Henderiena;heimrijk
10251;Guardina;geerhard
10252;Maghelina;magdalena
10253;Mechtelda;machthilde
10254;Bardhout;
10255;Zijmen;simon
10256;Eelktje;el
10257;Senie;
10258;Ephreuma;
10259;Philips;
10260;Eewoud;ewoud
10261;Marguerithe;margareta
10262;Laurenszoon;
10263;RenÃ©;
10264;FidÃ©le;
10265;Heimmen;heimrijk
10266;Urzina;ursula
10267;Christoffer;christoffel
10268;Gerrige;geerhard
10269;Christophel;christoffel
10270;Leonhard;leonhard
10271;Christino;christiaan
10272;Geeze;gesinus
10273;Gijziena;gesinus
10274;Niekolaas;nicolaas
10275;?Clendrina;
10276;Servais;servatius
10277;Berbere;barbara
10278;Wolberta;woudbert
10279;Idalie;id
10280;Rijjer;reingeer
10281;Jethe;jet
10282;Grazijna;
10283;Jerzy;hieronymus
10284;Alicja;
10285;Gouisuinus;
10286;Bernardi;bernhard
10287;Karin;karel
10288;Nijsbert;
10289;Arriaentje;adriaan
10290;IJdze;
10291;Aalbertha;adelbert
10292;Robberd;rodbert
10293;Phillippes;
10294;Beelentje;
10295;Fjiske;fries
10296;Gesien;gesinus
10297;Angenieka;agnes
10298;Kieltje;
10299;Chrtistina;christiaan
10300;Pr.;
10301;Hannigje;johannes
10302;Gillof;geerwolf
10303;Ludia;adelheid
10304;Casimir;casimir
10305;Gebke;gave
10306;Camillus;camille
10307;Geuchje;geu
10308;Mariagretha;
10309;IJntze;in
10310;Eldrina;adel
10311;Gislenius;
10312;Geuinne;
10313;Simmia;simon
10314;Toos;
10315;Lemert;lambert
10316;IJntje;in
10317;Laars;laurens
10318;Marteld;
10319;Ceetje;cecilia
10320;Aageda;
10321;Betreft;
10322;Henryette;heimrijk
10323;Andrieske;andries
10324;Natalia;nathalia
10325;Stehphanus;
10326;Fintje;fina
10327;Beatrijs;beatrix
10328;Jezephus;jozef
10329;Keunechina;koen
10330;Lonnis;apollonius
10331;Hadde;hade
10332;Immerentiana;emerentia
10333;Goof;godfried
10334;Marriëtte;maria
10335;IJtisberga;
10336;Gerretien;geerhard
10337;Brugt;bert
10338;Louwrisje;laurens
10339;Rudy;rodwolf
10340;Theodosia;theodorus
10341;Diedrik;diedrijk
10342;Hermpien;heerman
10343;Boele;boud
10344;Eberlina;ever
10345;Michaelis;michael
10346;Idaan;
10347;Fredric;friedrijk
10348;Weijna;wijn
10349;Feikjen;fried
10350;Rienko;rein
10351;Cijmetje;
10352;Elsche;elisabeth
10353;Riek;rijk
10354;Amelas;
10355;Juli;julius
10356;AdolphinacAugustina;
10357;Corrnelis;cornelis
10358;Jakow;jacob
10359;Vodor;
10360;Teymen;diedeman
10361;Heerke;heer
10362;Titsje;died
10363;Zijtse;zege
10364;Mechalina;magdalena
10365;Aarjaantje;adriaan
10366;Jetteken;jet
10367;Grijtje;margareta
10368;Pannetje;pancratius
10369;Ruijs;
10370;Lenderse;
10371;Silvio;silvia
10372;Berbara;barbara
10373;Garmt;geermond
10374;Sana;susanna
10375;Commer;gomarus
10376;Hoijtze;
10377;Florabertus;florentius
10378;Chislenus;
10379;Nicaolaas;
10380;Duiftje;duif
10381;Klzina;nicolaas
10382;Watschke;woud
10383;Catharian;catharina
10384;Arisje;adriaan
10385;Combertier;
10386;Ghiel;giel
10387;Serijntje;
10388;Simion;simon
10389;Roche;
10390;Mariet;maria
10391;Sebastiao;
10392;Tjamme;diedmar
10393;Lijzabeth;elisabeth
10394;Bron;brun
10395;Cecilius;cecilia
10396;Tjettje;died
10397;Syberen;zegebern
10398;Tegje;
10399;Hielko;heil
10400;Feam;
10401;Gielia;wilhelm
10402;Uiltjes;
10403;Aelbregt;
10404;Andreëtte;andries
10405;Elsediena;elisabeth
10406;Jaakje;jacob
10407;Impie;ermb-
10408;Pouwelina;paulus
10409;Siprianus;cyprianus
10410;Meergje;margareta
10411;Lusena;
10412;Elze;elizias
10413;Aurika;
10414;Germaina;geerm-
10415;Hemmerickia;
10416;Joana;johannes
10417;Krientje;quirinus
10418;Anthania;antonius
10419;Alisa;adelheid
10420;Liseta;elisabeth
10421;Agidia;egidius
10422;Joannum;johannes
10423;Kasminah;casimir
10424;Frieters;fried
10425;Nelle;nel
10426;Moïse;mozes
10427;Gwendolen;
10428;Rij;maria
10429;Regine;regina
10430;Mettien;mette
10431;Jijnus;
10432;Wijer;wijgheer
10433;Sarlientje;sara
10434;Afrie;
10435;Romet;
10436;IJkelina;ei
10437;Potronella;petrus
10438;Jants;
10439;Angenetje;agnes
10440;Reinnoutje;reinwoud
10441;Adamma;adam
10442;Elian;
10443;Levyn;
10444;Swerius;sweer
10445;Justiene;justus
10446;Egon;eugenius
10447;Eir;
10448;Luderwina;liedwijn
10449;Ludeweg;
10450;Simkje;simon
10451;Annatije;
10452;Rembrand;reinbrand
10453;Geretruij;geertruida
10454;Melani;melania
10455;Matthius;matthias
10456;Leonardes;leonhard
10457;Nicosiena;
10458;Apoline;apollonius
10459;Gabes;
10460;Madelena;magdalena
10461;Norberto;norbert
10462;Wilmijntje;wilhelm
10463;Leopoldine;leopold
10464;Eldine;adel
10465;Immerentia;emerentia
10466;Luca;lucas
10467;Hasje;hase
10468;Barnert;bernhard
10469;Elisabeta;elisabeth
10470;Tija;died
10471;Quitinus;
10472;Anthona;antonius
10473;Reimke;reinb-
10474;Concordia;koenraad
10475;Geertrien;geertruida
10476;Harremtien;heerman
10477;Homma;homme
10478;Ahrend;arnoud
10479;Tielma;
10480;Jet;jet
10481;Gargie;geerhard
10482;Semmina;semina
10483;Janneghie;
10484;Brum;brun
10485;Arientje;adriaan
10486;Lucca;lucas
10487;Wijntie;wijn
10488;Wijke;wijg
10489;Josepina;jozef
10490;Gobelina;god
10491;Dominekus;dominicus
10492;Jabina;geer
10493;Antonetha;antonius
10494;Niefje;
10495;Bitter;bag
10496;Heinrica;heimrijk
10497;Mintha;mein
10498;Mareytje;maria
10499;Antoinella;antonius
10500;Octavianus;octavus
10501;Corenelis;cornelis
10502;Setjes;
10503;Proontje;petrus
10504;Lijnetje;lijn
10505;Christen;christiaan
10506;Luciana;lucius
10507;IJoost;
10508;Eje;ei
10509;Scheltje;schelte
10510;Leonidas;leo
10511;Kassandra;
10512;naam;
10513;Marnix;marinus
10514;Erris;adriaan
10515;Goos;gos
10516;Bernhardina;bernhard
10517;Eilt;el
10518;?Naboth;
10519;Dingetje;dignus
10520;Vuillemine;
10521;Hendrijn;heimrijk
10522;Blasina;blasius
10523;Nannigje;nan
10524;Tieke;died
10525;Corsiaan;christiaan
10526;Pieere;petrus
10527;CornelisTheodorus;cornelis
10528;Edmée;aemilius
10529;IJsebrand;isbrand
10530;Franchette;franciscus
10531;Simonnetta;simon
10532;Perry;petrus
10533;Tánicka;
10534;Ladislav;lamb-
10535;Tatána;
10536;Derkina;diedrijk
10537;Sijgmond;
10538;Mourina;maurits
10539;Geske;gesinus
10540;Ilbert;elbert
10541;Lerrinus;
10542;Jurriom;george
10543;Irawan;
10544;Nelson;cornelis
10545;Fettje;fried
10546;Sare;sara
10547;Cris;chris
10548;Olof;odwolf
10549;Regneira;reingeer
10550;Olofina;odwolf
10551;Gezinus;gesinus
10552;Marje;maria
10553;Millanie;melania
10554;Hestia;
10555;Honorine;honore
10556;Karlheinz;karel
10557;Frédrique;friedrijk
10558;Reena;rein
10559;Zwanette;zwaan
10560;Szaak;
10561;Kathalintje;catharina
10562;Jahonna;johannes
10563;Wiesendina;
10564;Oetses;
10565;Ariel;adriaan
10566;Engelmunders;
10567;Gaspart;casper
10568;Lomberdina;lambert
10569;Yolanda;odelinde
10570;Faje;
10571;Goda;godhard
10572;Helle;heil
10573;Ariepje;
10574;Hendrijetje;heimrijk
10575;Sijbo;zegeb-
10576;Tjabo;diedb-
10577;Martial;martinus
10578;Allonia;
10579;Albertes;adelbert
10580;Nolle;arnoud
10581;Alt;adelhard
10582;Eleazer;eliazer
10583;Alouijse;
10584;Elasina;elisabeth
10585;Kamil;camille
10586;Luberte;
10587;Afiena;ave
10588;Lollina;lodewijk
10589;Guilloume;wilhelm
10590;Leun;apollonius
10591;Mariij;
10592;Imkelina;erm
10593;Hiekke;hilde
10594;Marjo;marianna
10595;Orsine;
10596;Hennes;johannes
10597;Milligje;aemilius
10598;Minadora;meinhard
10599;Cirla;zegebern
10600;Schulem;schelte
10601;Fremet;
10602;Mecheltje;magdalena
10603;Caspanna;
10604;Meia;mein
10605;Vijtje;fried
10606;Tips;
10607;Erentina;
10608;Piper;
10609;Cristianus;christiaan
10610;Thymen;diedeman
10611;Sevrien;severinus
10612;Marijkje;maria
10613;Mar;maria
10614;Philippes;filippus
10615;Bathilda;bertruida
10616;Asse;ans
10617;Watzes;
10618;Wiebes;
10619;Coenrard;koenraad
10620;Mereitje;maria
10621;Chila;michael
10622;Diddo;dieudonné
10623;Marijcke;maria
10624;Vojteska;
10625;Vincene;
10626;Ludwila;
10627;Filip;filippus
10628;Zara;sara
10629;Naadje;
10630;Marinius;marinus
10631;Lubbarta;liedbert
10632;Geleijn;gislenus
10633;Ares;adriaan
10634;Heime;heim
10635;Melena;magdalena
10636;Jannigien;johannes
10637;Ottilia;od
10638;Nathalie;nathalia
10639;Barte;bert
10640;Jakkemyntje;
10641;Hyacintus;hyacinthus
10642;Ortilia;od
10643;Doezina;doede
10644;Annechienna;anne
10645;Artha;
10646;Bernadiena;bernhard
10647;Achiel;aemilius
10648;Niza;agnes
10649;Magtilina;machthilde
10650;Laatje;
10651;Gaude;god
10652;Duifke;duif
10653;Gorzel;
10654;Stevanus;stefanus
10655;Janjaap;johannes
10656;Knelske;cornelis
10657;Geerlink;geerling
10658;Ludowikus;lodewijk
10659;Meertinus;marinus
10660;Marjolijn;marianna
10661;Rasuinus;roos
10662;Tera;theresia
10663;Jolina;julius
10664;Rimke;reinb-
10665;Teigjen;
10666;Beatres;beatrix
10667;Henryca;
10668;Jurriena;george
10669;Aarts;
10670;Cristian;christiaan
10671;Abramsie;abraham
10672;Neelte;cornelis
10673;GerardaTheodora;
10674;F.J.A.;
10675;Ketura;
10676;Aana;anne
10677;Wotherus;woudheer
10678;Benedina;bernhard
10679;Lothar;lodeheer
10680;Hamma;heerman
10681;Gereitje;
10682;Heilina;heil
10683;A.G.;
10684;A.B.;
10685;Jolske;
10686;Remmerdina;reinbert
10687;Anthoinetha;antonius
10688;Matthewis;matthias
10689;Prosphère;
10690;Marjory;marianna
10691;Ybeltje;eibert
10692;Schako;
10693;Willempien;wilhelm
10694;Meijno;mein
10695;Siebrig;zegeburg
10696;Wilh.Frederique;
10697;Amerentje;emerentia
10698;Leser;elisabeth
10699;Cardula;cordula
10700;Ieme;erm
10701;Iesaias;jesaja
10702;Duconia;
10703;Berendinus;bernhard
10704;Willfride;
10705;Benadetta;
10706;Pierkjen;petrus
10707;Iene;in
10708;Hikke;hilde
10709;Jennichje;johannes
10710;Jurrijanus;george
10711;Constanine;
10712;Wiendel;wendel
10713;Thiese;matthias
10714;Rosinus;roos
10715;Marus;marius
10716;Wendelke;wendel
10717;Seime;
10718;Grijttje;margareta
10719;Folgert;folkhard
10720;Goukje;goud
10721;Baarha;
10722;Clemans;clemens
10723;Juke;
10724;Syman;simon
10725;Machgiel;michael
10726;Ysia;ei
10727;Ingeborn;
10728;Wolhelmina;wilhelm
10729;Apolona;apollonius
10730;Arieanus;adriaan
10731;Quirine;quirinus
10732;Flooris;florentius
10733;Paulijntje;paulus
10734;Davia;david
10735;Abeline;abel
10736;Lizetta;elisabeth
10737;Elisabette;elisabeth
10738;Laures;laurens
10739;Feye;fried
10740;Jatris;beatrix
10741;Handricus;heimrijk
10742;Basil;sebastianus
10743;Tineke;trijn
10744;Dorothie;dorothea
10745;Leedewei;
10746;Caralina;karel
10747;Korneelis;cornelis
10748;Golina;gosinus
10749;Jente;johannes
10750;Mita;
10751;Meintsje;mein
10752;Goletha;
10753;Eijke;eer
10754;Lutinus;liedb-
10755;Marielina;marcel
10756;Edzandiena;
10757;Klare;clara
10758;Enolia;
10759;Phenne;ferdinand
10760;Gies;
10761;Leviticus;lief
10762;Geerts;
10763;Hombertus;
10764;Jelina;egidius
10765;Lebuïnus;
10766;Duke;diedw-
10767;Nanetta;nan
10768;Gergorius;geerhard
10769;Dignis;dignus
10770;Wouderina;woudheer
10771;Geertruth;
10772;Sidonia;simon
10773;Helenan;
10774;Rochani;
10775;Asnah;
10776;Berschijna;burg
10777;Engelliena;engel
10778;Ruchama;rijkhard
10779;Baardje;bert
10780;Immetie;erm
10781;Reinieres;reingeer
10782;Volkje;folk
10783;Margueret;margareta
10784;Hendewijntje;
10785;Enhard;
10786;Teertske;diedward
10787;Nele;nel
10788;Ceacilia;cecilia
10789;Eckhard;eghard
10790;Mohammed;
10791;Auronna;
10792;Klaatje;nicolaas
10793;Corving;corvinus
10794;Mokkio;
10795;Waritja;
10796;Doreta;dorothea
10797;Mariekje;maria
10798;Soehito;
10799;Kwierienus;
10800;Heronijmus;hieronymus
10801;Nardis;bernhard
10802;Tommie;thomas
10803;Janzina;johannes
10804;Lutgarde;ludgard
10805;Jaaike;iv
10806;Antjes;anne
10807;Dorchen;
10808;Siberdina;zegebert
10809;Joziana;jozef
10810;Ragnhild;
10811;Eeltjes;
10812;Celementia;
10813;Berrondina;bernhard
10814;Sijken;zege
10815;Battha;bade
10816;twee;
10817;Zwenna;zwaan
10818;Miejen;
10819;Ngen;
10820;Ploe;
10821;Auwel;
10822;Marijte;maria
10823;Rosalinda;roos
10824;Lubje;liedb-
10825;Elementia;emerentia
10826;Borghard;burghard
10827;Gilberta;gijsbert
10828;Grietha;margareta
10829;Manuela;immanuel
10830;Aug;
10831;Cornelois;cornelis
10832;Remmetje;rem
10833;Rosilia;roos
10834;Wentelina;wendel
10835;Idido;
10836;Hermanes;heerman
10837;Hokke;hug
10838;Celisje;
10839;Crispinus;christiaan
10840;Nijntje;nina
10841;Burggie;
10842;Baalgje;boud
10843;Ziphinea;
10844;Martijne;martinus
10845;Geraltherus;woudheer
10846;Gerriet;geerhard
10847;Titske;died
10848;Arniesje;
10849;Luduwig;
10850;Tora;
10851;Mathäus;matthias
10852;Rudolfus;rodwolf
10853;Germen;geerm-
10854;Annigchina;anne
10855;Aalewijn;adelwijn
10856;Tea;matthias
10857;Esaia;jesaja
10858;Blazina;blasius
10859;Leydia;adelheid
10860;Prientje;petrus
10861;Berbardus;bernhard
10862;Ekisabeth;elisabeth
10863;Ieffie;iv
10864;Wolmoet;wilmoed
10865;Ingentje;eng
10866;Kouters;
10867;Beatreus;
10868;Magdeltje;machthilde
10869;Gradda;geerhard
10870;Lubbertine;liedbert
10871;Hendriantje;heimrijk
10872;Zebi;
10873;Meiltje;mein
10874;Zakkelina;zaak
10875;Chiela;michael
10876;Alje;adel
10877;Jooste;justus
10878;Timme;diedeman
10879;Alettus;adelheid
10880;Lukienus;lucas
10881;Dionys;dionisius
10882;Annaat;
10883;Guurtruida;geertruida
10884;Rommertje;rombert
10885;Mareggi;
10886;Wieke;wijg
10887;Petryus;
10888;Seppeltje;
10889;Romkes;
10890;Goitske;god
10891;Julina;julius
10892;Chriemhilde;
10893;Eliezar;eliazer
10894;Adeweij;adelwijn
10895;Lourelia;laurens
10896;Megchelien;magdalena
10897;Gosuwina;gosewijn
10898;Besseltje;bertwoud
10899;Vedde;friedrijk
10900;Renken;
10901;Kaartje;catharina
10902;Ferdina;ferdinand
10903;Lammechiena;lamb-
10904;Rijtse;rijk
10905;Mensi;mein
10906;Reinders;
10907;Marehien;margareta
10908;Kon;
10909;Angnita;agnes
10910;Vreek;friedrijk
10911;Ietske;id
10912;Fraderika;friedrijk
10913;Rosilla;roos
10914;Wouterdina;woudheer
10915;Jielke;geld
10916;Eerke;eer
10917;Steffentje;stefanus
10918;Jafeth;jafet
10919;Gabina;gave
10920;Kartel;
10921;Wilis;
10922;Sabella;sibylla
10923;Alvonst;
10924;Leonisz;
10925;Popkje;folkb-
10926;Aurora;
10927;Cathia;catharina
10928;Jolla;johannes
10929;Hernricus;heimrijk
10930;Ludeweij;liedwijn
10931;Stephaine;
10932;Theye;died
10933;Lovina;lavinia
10934;Prudent;boud
10935;Amechien;anne
10936;Fermina;firminus
10937;Aagjie;agatha
10938;Leweris;
10939;Samul;
10940;Luc;lucas
10941;Valère;valentinus
10942;Julio;julius
10943;Estelinda;
10944;Tekela;thecla
10945;Aloysus;aloysius
10946;Gerrtis;geerhard
10947;Liene;leen
10948;Iet;id
10949;Swan;zwaan
10950;Davidje;david
10951;Lynda;leonhard
10952;Hellen;helena
10953;Lilly;lief
10954;Antinia;antonius
10955;illem;wilhelm
10956;Agretha;agnes
10957;Ahaverus;
10958;Sjoerderika;zegeward
10959;Nantes;nan
10960;Arsenia;arnoud
10961;Theus;
10962;Wimmeltje;wilhelm
10963;Francesca;franciscus
10964;Truithe;
10965;Renke;rein
10966;Amalthea;
10967;Ruurt;raadward
10968;Repke;rijkb-
10969;Jakaba;jacob
10970;W.L.;
10971;Creelisje;cornelis
10972;Bertronella;
10973;Ekelina;adelb-
10974;Brancina;brand
10975;Nociena;
10976;Lenarda;leonhard
10977;Wichert;wijghard
10978;Willie;wilhelm
10979;Judoka;jodocus
10980;Joseefus;jozef
10981;Wijpktje;wijgb-
10982;Eletje;adel
10983;Leone;leo
10984;Riekien;rijk
10985;Trineker;catharina
10986;Drickus;
10987;Abondius;abondius
10988;Pleumus;
10989;Clasje;nicolaas
10990;??Dirk;
10991;Willemfien;
10992;Clemensia;clemens
10993;Tekle;thecla
10994;Juditje;judith
10995;Jundje;judith
10996;Adrieana;adriaan
10997;Hinky;heim
10998;Mararetha;margareta
10999;Bloeme;bloem
11000;Ysaäc;izaak
11001;Ardje;arnoud
11002;Cijprianus;cyprianus
11003;Mergie;margareta
11004;Herline;
11005;Lette;liedheer
11006;Hypolitus;hypolitus
11007;Jebbe;gave
11008;Jurg;george
11009;Vivienne;
11010;Nathalina;nathalia
11011;Betsh;
11012;Laboerius;
11013;Krijno;quirinus
11014;Melje;aemilius
11015;Luwe;liedw-
11016;Martawi;
11017;Beautrix;beatrix
11018;Ludowica;lodewijk
11019;Arsie;
11020;Marregrieta;margareta
11021;Oukje;ave
11022;Lauwerus;laurens
11023;Maragritha;margareta
11024;Juutje;judith
11025;Annamietje;annemarie
11026;Kunnenke;
11027;Hermien;heerman
11028;Garolus;karel
11029;Saatze;
11030;Lijbert;liedbert
11031;Walla;
11032;Brunhilde;brun
11033;Batterus;
11034;Bavona;bavo
11035;Almoet;
11036;Gortlieb;godlief
11037;Michelina;michael
11038;Armpje;
11039;Sebastienus;
11040;Hillebrant;hildebrand
11041;Anthonina;antonius
11042;Serge;severinus
11043;Immanuel;immanuel
11044;Edista;
11045;Ludovinus;lodewijk
11046;Aaffie;ave
11047;Djemah;
11048;Emar;emerentia
11049;Ceelia;sel
11050;Lauwrensje;laurens
11051;Bruuntje;brun
11052;Rextje;
11053;Swit;
11054;Garnelia;
11055;Gerridiena;geerhard
11056;Siebrant;zegebrand
11057;Luder;liedgeer
11058;Hijtje;hilde
11059;Marionne;marianna
11060;Albertiena;adelbert
11061;Gertraude;geertruida
11062;Harendina;heer
11063;Agnese;agnes
11064;Ruud;rod
11065;Hartjen;heerman
11066;Rommet;rom
11067;Wiebkus;
11068;Angulus;
11069;Eilke;el
11070;Henni;heimrijk
11071;Tysje;matthias
11072;Wenceslai;wenceslaus
11073;Dammer;damasus
11074;Salemon;salomo
11075;Nilah;
11076;Minzo;mein
11077;Remkolina;reinb-
11078;Gaafje;
11079;Sierle;
11080;leurens;laurens
11081;Feijtsis;
11082;Loekje;lode
11083;Subberdina;
11084;Husanna;hase
11085;Wiemer;wijnmar
11086;Hulfort;
11087;Wiebigjen;wijgb-
11088;Mathijske;matthias
11089;Vincenzo;vincent
11090;Altevius;
11091;Wijgbertus;wijgbert
11092;Sussanna;susanna
11093;Sibbe;zegeb-
11094;Inengtje;
11095;Sjiewke;zegeward
11096;Aag;agatha
11097;Theadorus;theodorus
11098;Fettia;friedmar
11099;Freea;fried
11100;Gijsberth;gijsbert
11101;Seijmetje;
11102;Jeigien;geld
11103;Campegius;kemp
11104;Izebrand;isbrand
11105;Arke;arnoud
11106;András;andries
11107;Curtius;quirinus
11108;Wilma;wilhelm
11109;Willimtje;wilhelm
11110;Mochlina;
11111;Saridjem;
11112;Mertomenawi;
11113;Gosert;
11114;Annaetjen;anne
11115;Ledie;
11116;Fijme;friedmar
11117;Berkhoff;bernhard
11118;Antons;
11119;Dorette;dorothea
11120;Zacharia;zacharias
11121;Meijndje;
11122;Thosijn;
11123;Emmericus;ermrijk
11124;Eisbrand;isbrand
11125;Sirach;zegeward
11126;Vietalus;
11127;Hetze;hadegeer
11128;Lulius;lucas
11129;Garanda;geerhard
11130;IJgalina;id
11131;A.D.;
11132;Margherita;margareta
11133;Lubberd;liedbert
11134;Lobberdina;liedbert
11135;Bodil;bernhard
11136;Ati;adel
11137;Heelena;helena
11138;Booije;
11139;Dierk;diedrijk
11140;Thoon;antonius
11141;Ara;adriaan
11142;Bes;
11143;Breggetta;
11144;Aldia;adelheid
11145;Heijo;heg
11146;Leendertse;
11147;Elviere;elisabeth
11148;Rudolpf;rodwolf
11149;Buckley;
11150;Aneke;anne
11151;Klazijntje;nicolaas
11152;Johonnes;johannes
11153;Theodrorus;theodorus
11154;Elisabetta;elisabeth
11155;Tjaart;diedward
11156;Hermanne;heerman
11157;Femme;eufemia
11158;Pelagia;pelagius
11159;Leibel;liedbert
11160;Preijna;petrus
11161;Aelze;adel
11162;Adalaide;adelheid
11163;Jeftha;
11164;Bartholina;bartholomeus
11165;Herny;heimrijk
11166;Pouwlina;paulus
11167;Aloubia;
11168;Wormert;warnboud
11169;Gomarus;gomarus
11170;Abraham,;
11171;Angenie;agnes
11172;Krij;
11173;Maila;
11174;Hadriana;adriaan
11175;Marjen;maria
11176;Yemkje;erm
11177;Willeboord;willibrord
11178;Friedricho;
11179;Golda;goud
11180;Yette;
11181;Licolaas;
11182;Jroentje;
11183;Hederica;heimrijk
11184;Lenda;
11185;Naon;
11186;Cecilie;cecilia
11187;Simoen;
11188;Rookus;rochus
11189;Soukien;
11190;Seske;saks
11191;Teeske;died
11192;Fans;franciscus
11193;Alidis;adelheid
11194;Guillelmina;wilhelm
11195;Gergard;
11196;Mijna;mein
11197;Georgia;george
11198;Bension;bern
11199;Arijan;adriaan
11200;Loena;leonhard
11201;Jesaia;jesaja
11202;Giella;giel
11203;Janij;johannes
11204;Karsinah;
11205;Soephie;
11206;Hiepkje;heil
11207;Jureina;
11208;Gernt;geerhard
11209;Gilde;gijsbert
11210;Gerdines;geerhard
11211;Mariy;
11212;Catharena;catharina
11213;Rooka;rochus
11214;Apolonis;apollonius
11215;Nikolaus;nicolaas
11216;H.G.R.;
11217;Wijtsche;wijd
11218;Adriëtte;adriaan
11219;Jopie;job
11220;Mariegritha;
11221;Nijziena;agnes
11222;Imbertus;ermbert
11223;Kootje;jacob
11224;Hennericus;heimrijk
11225;Michaal;michael
11226;Huberttus;hugbert
11227;Nantko;nan
11228;Besselina;bert
11229;Ceclia;cecilia
11230;Esmalia;
11231;Aemelia;aemilius
11232;Matheis;matthias
11233;Jorine;jozef
11234;Elbregt;adelbert
11235;Liepkje;liedb-
11236;Engelijntje;engel
11237;Arisse;adriaan
11238;Dunisius;
11239;Eilina;el
11240;Averlina;ave
11241;Zeno;zippora
11242;Nol;arnoud
11243;Lin;lijn
11244;Juikje;
11245;Antjen;anne
11246;Godtfried;godfried
11247;Wkillem;
11248;Ima;erm
11249;Joëll;joël
11250;Renette;rein
11251;Henrdrika;heimrijk
11252;Benjamientjen;
11253;Epea;
11254;Aije;
11255;Ezau;
11256;Derrik;diedrijk
11257;Oegje;odg-
11258;Lubertine;liedbert
11259;Komelis;
11260;Meijtske;
11261;Schaja;
11262;Tjwan;
11263;Zaara;sara
11264;Osebella;
11265;Aleksander;alexander
11266;Zainal;
11267;Mithabet;
11268;Geuchien;geu
11269;Eusebius;eusebius
11270;Jaen;johannes
11271;Bathildis;baptist
11272;Geusje;gesinus
11273;Lare;
11274;Leysbet;elisabeth
11275;Taupke;
11276;Agaath;agatha
11277;Tjadina;diedward
11278;Casemiere;
11279;Euphrosina;euphrosina
11280;Liberta;liedbert
11281;Goudius;
11282;Rijpje;
11283;Greertrui;geertruida
11284;Valéry;
11285;Anthonettha;antonius
11286;Nisa;agnes
11287;Hillitje;heil
11288;Haja;heg
11289;Dympha;dimphna
11290;Minnikus;dominicus
11291;Korstiana;christiaan
11292;Aliezabeth;elisabeth
11293;Dietrich;diedrijk
11294;Edgard;edshard
11295;Klasie;nicolaas
11296;Elte;adel
11297;Kunje;koen
11298;Eerde;eer
11299;Toekje;doede
11300;Filippo;filippus
11301;Marijsje;maria
11302;Lenard;leonhard
11303;Dirkjan;diedrijk
11304;Hate;hadehelm
11305;Siebergje;zegebert
11306;ontbinding;
11307;Titje;died
11308;Jobpi;
11309;Francyn;franciscus
11310;(Johanna);johannes
11311;IJsodorus;
11312;Alebartha;adelbert
11313;Agnie;agnes
11314;Lodewijk,;
11315;Marrijgie;maria
11316;Feytje;fried
11317;Renira;reingeer
11318;Ariaantie;adriaan
11319;Estra;esther
11320;Yakob;
11321;Oelke;od
11322;Ceetie;
11323;Rainah;
11324;Geerlag;geerlach
11325;Antoinet;antonius
11326;Tallechien;diedlief
11327;Jaobus;jacob
11328;Anthonetha;antonius
11329;Michael;
11330;Weynant;
11331;Maina;meinhard
11332;Kosina;cozijn
11333;`Willem;
11334;Aalbregt;adelbert
11335;Maljus;
11336;Michaly;michael
11337;Zsuzsanna;susanna
11338;Geertuijda;geertruida
11339;Andrietta;
11340;Sofy;
11341;Bancris;pancratius
11342;Hendrianus;heimrijk
11343;Heug;
11344;Rebertus;rodbert
11345;Wijnna;wijn
11346;Anastasia;anastacius
11347;Elderdina;elbert
11348;Henrici/;
11349;Lammerdiora;
11350;Helmich;helmwijg
11351;Adelheidis;adelheid
11352;IJpes;
11353;Geurdina;geerhard
11354;Maritinus;martinus
11355;Margatha;margareta
11356;Leenderet;leonhard
11357;Wilhelmiene;wilhelm
11358;Adreana;adriaan
11359;Sentijna;cent
11360;Annigchie;anne
