id;name;standard
274;Gijsberta;gijsbert
275;Laurentius;laurens
276;Martijntje;martinus
277;Krijne;quirinus
278;Jakob;jacob
279;Ermpje;erm
280;Agatha;agatha
281;Fredrikus;friedrijk
282;Guurtje;geertruida
283;Jobje;job
284;Juriaan;george
285;Govert;godfried
286;Constant;constant
287;Egidius;egidius
288;Maatje;maria
289;Aart;arnoud
290;Bertha;bert
291;Sijmen;simon
292;Derk;diedrijk
293;Egbertus;egbert
294;Hiekjen;hilde
295;Wiebe;wijgb-
296;Geeske;gesinus
297;Atijna;adel
298;Harm;heerman
299;Evert;everhard
300;Teunis;antonius
301;Joost;justus
302;Klaasje;nicolaas
303;Dymphna;dimphna
304;Sebastiaan;sebastianus
305;Wijntje;wijn
306;Rozina;roos
307;Cors;christiaan
308;Jilles;egidius
309;Gerhardus;geerhard
310;Klaasie;nicolaas
311;Hubert;hugbert
312;Welmoet;wilmoed
313;Diederika;diedrijk
314;Emanuel;immanuel
315;Izak;izaak
316;Marlijntje;martinus
317;Stephanus;stefanus
318;Henderika;heimrijk
319;Izaak;izaak
320;Roset;roos
321;Klazina;nicolaas
322;Harmen;heerman
323;Aris;adriaan
324;Huibertje;hugbert
325;Willy;wilhelm
326;Gilles;egidius
327;Elisa;elisabeth
328;Giuseppe;jozef
329;Giovanni;johannes
330;Linda;leonhard
331;Johannetta;johannes
332;Hemijntje;
333;Tryntje;catharina
334;Odina;od
335;Ijda;id
336;Klaartje;clara
337;Judie;judith
338;Denijs;dionisius
339;Jacomina;jacob
340;Pleuntje;apollonius
341;Jean;johannes
342;Catherine;catharina
343;Henri;heimrijk
344;Theresia;theresia
345;Rachel;rachel
346;Willebrordus;willibrord
347;Francina;franciscus
348;Dientje;died
349;Catriena;catharina
350;Susunna;susanna
351;Korstiaan;christiaan
352;Frits;friedrijk
353;Louise;lodewijk
354;Suzette;susanna
355;Herman;heerman
356;Georgine;george
357;Mattje;maria
358;Lijpje;liedb-
359;Ewaldus;ewoud
360;Diderik;diedrijk
361;Reino;rein
362;Ferdinand;ferdinand
363;Hilligje;hilde
364;Zwaantje;zwaan
365;Maarten;martinus
366;Fijtje;fried
367;Anneke;anne
368;Diemer;diedw-
369;Arnoldus;arnoud
370;Sibilla;sibylla
371;Dina;dina
372;Huberta;hugbert
373;Ebenhaëzer;adelb-
374;Kornelis;cornelis
375;Hector;hester
376;Sebella;sibylla
377;Edjer;edsgeer
378;Berend;bernhard
379;Jozeph;jozef
380;Henrietta;heimrijk
381;Wouterina;woudheer
382;Dingeman;dingeman
383;Meijntje;mein
384;Mattheus;matthias
385;Francis;franciscus
386;Ernest;ernst
387;Leijdia;adelheid
388;Marianna;marianna
389;Marcelis;marcel
390;Hermanna;heerman
391;Huberdina;hugbert
392;Jeroen;hieronymus
393;Neelis;cornelis
394;Rokie;rochus
395;Engel;engel
396;Rebecca;rebekka
397;Augusta;augustinus
398;August;augustinus
399;Jank;johannes
400;Bernard;bernhard
401;Jeanne;johannes
402;Henrie;heimrijk
403;Charles;karel
404;Vronika;veronica
405;Otto;od
406;Rijka;rijk
407;Judik;judith
408;Jeannette;johannes
409;Jantiena;johannes
410;Maghiel;michael
411;Mijntje;mein
412;Nanning;nan
413;Wouterus;woudheer
414;Corstiaan;christiaan
415;Godofredus;godfried
416;Reint;rein
417;George;george
418;Hortense;hortensius
419;Gerhard;geerhard
420;Katriena;catharina
421;Arnoud;arnoud
422;N.N,;
423;Juliana;julius
424;Plonia;apollonius
425;Annegiena;anne
426;Judocus;jodocus
427;Antonetta;antonius
428;Lubartus;liedbert
429;Emilie;aemilius
430;Gonda;gond
431;Paulina;paulus
432;Jozephus;jozef
433;Flora;florentius
434;Kors;chris
435;Adam;adam
436;Feitje;fried
437;Hesselina;hase
438;Hessel;hase
439;Everdina;everhard
440;Koert;koenraad
441;Arijaantje;adriaan
442;Mensje;mein
443;Sofia;sofia
444;Rolina;rodwolf
445;Matthijn;matthias
446;Marie;maria
447;Eduardus;edward
448;Julia;julius
449;Niesje;agnes
450;Boudewijna;boudewijn
451;Jantina;johannes
452;Corneille;cornelis
453;Everhardus;everhard
454;Afien;ave
455;Adriaan;adriaan
456;Annetta;anne
457;Maaike;maria
458;Coletta;nicolaas
459;Jurianus;george
460;Josephus;jozef
461;Louiza;lodewijk
462;Dorothea;dorothea
463;Jaapje;jacob
464;Annetje;anne
465;Henderik;heimrijk
466;Amelius;aemilius
467;Margrietha;margareta
468;Abigaël;abigael
469;Apollonia;apollonius
470;Geertruijd;geertruida
471;Jaques;jacob
472;Boudewijn;boudewijn
473;Sebastiana;sebastianus
474;Everardus;everhard
475;Tietsia;letitia
476;Levy;levi
477;Tonia;antonius
478;Sijmetje;simon
479;Tine;catharina
480;Enoch;henoch
481;Christianus;christiaan
482;Heiltje;heil
483;Pieterke;petrus
484;Benjamin;benjamin
485;Geurt;geerhard
486;Marthe;martha
487;Clazina;nicolaas
488;Bancras;pancratius
489;Floris;florentius
490;Ijsbrand;isbrand
491;Sjarle;
492;Annigje;anne
493;Huibrecht;hugbert
494;Betje;elisabeth
495;Suzanne;susanna
496;Jozef;jozef
497;Simina;semina
498;Marrijtje;maria
499;Magtilda;machthilde
500;Lamberta;lambert
501;Napoleon;napoleon
502;Klaziena;nicolaas
503;Coert;koenraad
504;Gysberta;gijsbert
505;Prijna;petrus
506;Gradus;geerhard
507;Jeannetta;johannes
508;Amarentia;emerentia
509;Geertruij;geertruida
510;Roelof;rodwolf
511;Hartog;hartog
512;Rosa;roos
513;Bartel;bartholomeus
514;Agnes;agnes
515;Haasje;hase
516;Engelbertus;engelbert
517;??;
518;Salomon;salomo
519;Vronica;veronica
520;Celestine;celestina
521;Jana;johannes
522;Engelina;engel
523;Hillegonda;hildegonda
524;Teunisje;antonius
525;Anthonij;antonius
526;Eva;eva
527;Sijbren;zegebern
528;Tetje;died
529;Sjaakje;jacob
530;Aalbert;adelbert
531;N;
532;Margien;margareta
533;Marregie;margareta
534;Koos;jacob
535;Joannis;johannes
536;Euphemia;eufemia
537;Quirina;quirinus
538;Jurrien;george
539;Louwrens;laurens
540;Carl;karel
541;Esther;esther
542;Metta;mette
543;Magdalena;magdalena
544;John;johannes
545;Ann;anne
546;Stephan;stefanus
547;Izaac;izaak
548;Arnolda;arnoud
549;Wijtske;wijd
550;Murk/Merk;
551;Corneliske;cornelis
552;Sjoukjen;zegeward
553;Gustaaf;gustaaf
554;Friderica;friedrijk
555;Gertrude;geertruida
556;Klara;clara
557;Cornellia;cornelis
558;Berta;bert
559;Eng;engel
560;Tannetje;dank
561;François;franciscus
562;Theodore;theodorus
563;Warnaard;warnheer
564;Righard;rijkhard
565;Matje;maria
566;Ida;id
567;Rossetta;roos
568;Klasina;nicolaas
569;Helmina;helm
570;Marrigje;maria
571;Dammes;damasus
572;Clement;clemens
573;Magchiel;michael
574;Stijntje;stina
575;Francisca;franciscus
576;Joanne;johannes
577;Hannes;johannes
578;Mysje;mein
579;Reitje;rijk
580;Nicolaar;nicolaas
581;Trijna;catharina
582;Duifje;duif
583;Rokus;rochus
584;Belia;bele
585;Monique;monica
586;Thames;diedmar
587;Mina;mina
588;Sientje;sin
589;Annegie;anne
590;Geertruy;geertruida
591;Rutger;rodgeer
592;Lamberdina;lambert
593;Roelf;rodwolf
594;Atje;adel
595;Sebastianus;sebastianus
596;Rombout;romboud
597;Elbertje;elbert
598;Henriette;heimrijk
599;Berendina;bernhard
600;Alijah;
601;Aletta;adelheid
602;Ernst;ernst
603;Marjanna;marianna
604;Meinsje;mein
605;Evertje;everhard
606;Louwerens;laurens
607;Eitje;id
608;Janus;johannes
609;Denys;dionisius
610;Sytje;zege
611;Harmina;heerman
612;Arres;adriaan
613;Rigardus;rijkhard
614;Alijda;adelheid
615;Isabella;isabella
616;Cattarina;catharina
617;Barendina;bernhard
618;Arendje;arnoud
619;Bastiana;sebastianus
620;Willempje;wilhelm
621;Hannis;johannes
622;Rijntje;rein
623;Emma;erm
624;Judina;judith
625;Veronique;veronica
626;Georgius;george
627;Sigbertus;zegebert
628;Marius;marius
629;Julianus;julius
630;Aukje;ave
631;Dominicus;dominicus
632;Mozes;mozes
633;Matthys;matthias
634;Arentje;arnoud
635;Lutske;lied
636;Gerben;geerbert
637;Taede;died
638;Rinske;rein
639;Merrigje;maria
640;Timotheus;timotheus
641;Marretje;maria
642;Alexander;alexander
643;Truitje;truida
644;Lijsje;elisabeth
645;Meindert;meinhard
646;Georg;george
647;Fransciscus;franciscus
648;Steven;stefanus
649;Geertjen;geerhard
650;Talchien;diedlief
651;Friedrich;friedrijk
652;Siberlina;zegebert
653;Bartha;bert
654;Louw;laurens
655;Felix;felix
656;Victoire;victor
657;Eugenius;eugenius
658;Folkert;folkhard
659;Elbert;elbert
660;Levenloos;
661;Barta;bert
662;Lammert;lambert
663;Saakje;zaak
664;Netje;antonius
