Period_start;Period_end;Name;Picture;Picture_saved;Term/Details
1938;1939;Paul Christiaan Flu;//upload.wikimedia.org/wikipedia/commons/thumb/6/62/Paul_Christiaan_Flu.jpg/62pxPaul_Christiaan_Flu.jpg;pictures/Paul Christiaan Flu.jpg;
1939;1940;Frederik Muller Jzn;//upload.wikimedia.org/wikipedia/commons/thumb/7/79/FMullerJzn18831944.jpg/62pxFMullerJzn18831944.jpg;pictures/Frederik Muller Jzn.jpg;
1940;1941;Alexander Willem Byvanck;;;
1941;1943;Willem van der Woude;//upload.wikimedia.org/wikipedia/commons/thumb/2/2f/WvdWoude1917.jpg/62pxWvdWoude1917.jpg;pictures/Willem van der Woude.jpg;(2) (waarnemend rector)(RU Leiden vanaf 27 nov. 1941 grotendeels gesloten)
1943;1945;;;;(Rijksuniversiteit Leiden gesloten door Duitse bezetter)
1945;1945;Willem van der Woude;//upload.wikimedia.org/wikipedia/commons/thumb/4/40/WvdWoude1945.jpg/62pxWvdWoude1945.jpg;pictures/Willem van der Woude.jpg;(3) (mei-sept.)
1945;1946;Berend George Escher;//upload.wikimedia.org/wikipedia/commons/thumb/e/e9/Berend_Escher_1945.jpg/62pxBerend_Escher_1945.jpg;pictures/Berend George Escher.jpg;
1946;1947;Rudolph Pabus Cleveringa;//upload.wikimedia.org/wikipedia/commons/thumb/2/25/Cleveringa.JPG/62pxCleveringa.JPG;pictures/Rudolph Pabus Cleveringa.jpg;
1947;1948;Julius Christiaan van Oven;//upload.wikimedia.org/wikipedia/commons/thumb/c/cd/Oven%2C_Prof._Mr._J._Chr._van__SFA007000348.jpg/62pxOven%2C_Prof._Mr._J._Chr._van__SFA007000348.jpg;pictures/Julius Christiaan van Oven.jpg;
1948;1949;Cornelis Christiaan Berg;//upload.wikimedia.org/wikipedia/commons/thumb/1/16/Prof.C._C._Berg%2C_Bestanddeelnr_9092446.jpg/62pxProf.C._C._Berg%2C_Bestanddeelnr_9092446.jpg;pictures/Cornelis Christiaan Berg.jpg;
1949;1950;Bernard van Groningen;//upload.wikimedia.org/wikipedia/commons/thumb/8/81/Buste_van_Bernard_van_Groningen.jpg/62pxBuste_van_Bernard_van_Groningen.jpg;pictures/Bernard van Groningen.jpg;Film 1950: Rector Magnificus Bernard van Groningenontvangt boeken uit Amerika
1950;1951;Siegfried Thomas Bok;//upload.wikimedia.org/wikipedia/commons/thumb/f/fb/STBok.jpg/62pxSTBok.jpg;pictures/Siegfried Thomas Bok.jpg;
1951;1952;Julius Herman Boeke;//upload.wikimedia.org/wikipedia/commons/thumb/0/05/JHBoeke1924.jpg/62pxJHBoeke1924.jpg;pictures/Julius Herman Boeke.jpg;
1952;1953;Jan Duyvendak;//upload.wikimedia.org/wikipedia/commons/thumb/7/7e/JJL_Duyvendak.jpg/62pxJJL_Duyvendak.jpg;pictures/Jan Duyvendak.jpg;
1953;1954;Jacob Maarten van Bemmelen jr.;//upload.wikimedia.org/wikipedia/commons/thumb/b/b1/VollenhovenVanBemmelen.jpg/62pxVollenhovenVanBemmelen.jpg;pictures/Jacob Maarten van Bemmelen jr..jpg;
1954;1955;Jan Nicolaas Bakhuizen van den Brink;//upload.wikimedia.org/wikipedia/commons/thumb/0/09/JNBakhuizen1969.jpg/62pxJNBakhuizen1969.jpg;pictures/Jan Nicolaas Bakhuizen van den Brink.jpg;
1955;1956;Anton Eduard van Arkel;//upload.wikimedia.org/wikipedia/commons/thumb/5/5d/AEvanArkel.tif/lossypage162pxAEvanArkel.tif.jpg;pictures/Anton Eduard van Arkel.jpg;
1956;1957;Pieter Arie Hendrik de Boer;;;
1957;1958;Samuel Elzevier de Jongh;//upload.wikimedia.org/wikipedia/commons/thumb/0/06/JonghReve1957.jpg/62pxJonghReve1957.jpg;pictures/Samuel Elzevier de Jongh.jpg;
1958;1959;Herman Johannes Lam;//upload.wikimedia.org/wikipedia/commons/thumb/9/97/HJLam1957.jpg/62pxHJLam1957.jpg;pictures/Herman Johannes Lam.jpg;
1959;1960;Jan Engbertus Jonkers;;;
1960;1961;Jan Volkert Rijpperda Wierdsma;//upload.wikimedia.org/wikipedia/commons/thumb/7/75/VdMandeleRijpperdaW.jpg/62pxVdMandeleRijpperdaW.jpg;pictures/Jan Volkert Rijpperda Wierdsma.jpg;
1961;1962;Gerhard Sevenster;//upload.wikimedia.org/wikipedia/commons/thumb/1/12/GSevenster.jpg/62pxGSevenster.jpg;pictures/Gerhard Sevenster.jpg;
1962;1963;Sem Dresden;//upload.wikimedia.org/wikipedia/commons/thumb/c/c9/Hugo_Brandt_Corstius_ontvangt_PC_Hooftprijs_1987_uit_handen_prof._Dresden_%28l%29_vo%2C_Bestanddeelnr_9342598.jpg/62pxHugo_Brandt_Corstius_ontvangt_PC_Hooftprijs_1987_uit_handen_prof._Dresden_%28l%29_vo%2C_Bestanddeelnr_9342598.jpg;pictures/Sem Dresden.jpg;
